ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,velaric,tense,long,hitone,hireg,name
ɳ̥,-,+,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɳ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɳ̥ː,-,+,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɳː,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɳ̺,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɳ̻,-,+,+,-,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
n̥,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
n,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiced alveolar nasal
n̥ː,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
nː,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
n̪̥,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
n̪,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
n̪̥ː,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
n̪ː,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
m̥,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
m,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiced bilabial nasal
m̥ː,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
mː,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
n̼,-,+,+,-,-,-,+,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
n̪̼,-,+,+,-,-,-,+,-,+,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,
ɴ̥ˤ,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɴˤ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɴːˤ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,
ɳ̥ˤ,-,+,+,-,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɳˤ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɳːˤ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,
n̥ˤ,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
nˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
nːˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,
n̪̥ˤ,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
n̪ˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
n̪ːˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,+,-,-,
m̥ˤ,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
mˤ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
mːˤ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,
ŋ̥ʲ,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɲ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɲ̥ː,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ɲː,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ŋᶣ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,
ŋ̥ˠ,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ŋ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,voiced velar nasal
ŋ̥ː,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ŋː,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ŋ̥ʷ,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ŋʷˠ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ŋʷː,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ɳ̥ʲ,-,+,+,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɳʲ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɳːʲ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,-,
ɳᶣ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
ɳ̥ˠ,-,+,+,-,-,-,+,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɳˠ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɳːˠ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,+,-,-,
ɳ̥ʷ,-,+,+,-,-,-,+,-,-,-,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɳʷˠ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɳʷː,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
n̥ʲ,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
nʲ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
nːʲ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,+,-,-,
nᶣ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
n̥ˠ,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
nˠ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
nːˠ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,+,-,-,-,-,+,-,-,
n̥ʷ,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
nʷˠ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
nʷː,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
n̪̥ʲ,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
n̪ʲ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
n̪ːʲ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,
n̪ᶣ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
n̪̥ˠ,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
n̪ˠ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
n̪ːˠ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,+,-,-,-,-,+,-,-,
n̪̥ʷ,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
n̪ʷˠ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
n̪ʷː,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
m̥ʲ,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
mʲ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
mːʲ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,
m̥ˠ,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
mˠ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
mːˠ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,
m̥ʷ,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
mʷˠ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
mʷː,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
ŋ̥ˤ,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ŋˤ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ŋːˤ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,
ŋʷˤ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ɳʷˤ,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
nʷˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
n̪ʷˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
mʷˤ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
ɴ̰,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ɴ̰ː,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɳ̰,-,+,+,-,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɳ̰ː,-,+,+,-,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
n̰,-,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
n̰ː,-,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
n̪̰,-,+,+,-,-,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
n̪̰ː,-,+,+,-,-,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
m̰,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
m̰ː,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ɴ̰ˤ,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɳ̰ˤ,-,+,+,-,-,-,+,-,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
n̰ˤ,-,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
n̪̰ˤ,-,+,+,-,-,-,+,-,+,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
m̰ˤ,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ɲ̰,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɲ̰ː,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ŋ̰ˠ,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ŋ̰ː,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ŋʷˀ,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ɳ̰ʲ,-,+,+,-,-,-,+,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɳ̰ˠ,-,+,+,-,-,-,+,-,+,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɳʷˀ,-,+,+,-,-,-,+,-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
n̰ʲ,-,+,+,-,-,-,+,-,+,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
n̰ˠ,-,+,+,-,-,-,+,-,+,-,+,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
nʷˀ,-,+,+,-,-,-,+,-,+,-,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
n̪̰ʲ,-,+,+,-,-,-,+,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
n̪̰ˠ,-,+,+,-,-,-,+,-,+,-,+,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
n̪ʷˀ,-,+,+,-,-,-,+,-,+,-,+,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
m̰ʲ,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
m̰ˠ,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
mʷˀ,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ŋ̰ˤ,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ɴ̤̥,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ɴ̤,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ɴ̤ː,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɳ̤̥,-,+,+,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɳ̤,-,+,+,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɳ̤ː,-,+,+,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
n̤̥,-,+,+,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
n̤,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
n̤ː,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
n̪̤̥,-,+,+,-,-,-,+,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
n̪̤,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
n̪̤ː,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
m̤̥,-,+,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
m̤,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
m̤ː,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ɴ̤ˤ,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɳ̤ˤ,-,+,+,-,-,-,+,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
n̤ˤ,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
n̪̤ˤ,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
m̤ˤ,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ɲ̤̥,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɲ̤,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɲ̤ː,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ŋ̤̥,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ŋ̤,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ŋ̤ː,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ŋ̤ʷ,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ɳ̤ʲ,-,+,+,-,-,-,+,-,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɳ̤ˠ,-,+,+,-,-,-,+,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɳ̤ʷ,-,+,+,-,-,-,+,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
n̤ʲ,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
n̤ˠ,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
n̤ʷ,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
n̪̤ʲ,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
n̪̤ˠ,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
n̪̤ʷ,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
m̤ʲ,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
m̤ˠ,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
m̤ʷ,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ŋ̤ˤ,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ʋ̥,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ʋ,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ʋ̥ː,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ʋː,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ʋ̥ˤ,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ʋˤ,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ʋːˤ,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,
ɘ̯,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,
ɤ̯,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,
ɞ̯,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,
ɵ̯,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,
ɑ̯,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,
ʋ̥ʲ,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
ʋʲ,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
ʋːʲ,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,
ʋ̥ˠ,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
ʋˠ,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
ʋːˠ,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,
ʋ̥ʷ,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ʋʷˠ,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ʋʷː,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
ɰ̥,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,
ɰ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,
ɰ̥ː,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,
ɰː,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,
ɰ̥ʲ,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,
ɰʲ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,
ɰːʲ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,
ɰᶣ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-,-,
ɰ̥ˠ,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,-,
ɰːˠ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,
ɰ̥ʷ,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,+,-,-,-,
ɰʷˠ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,+,-,-,-,
ɰʷː,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,+,+,-,-,
ʉ̯,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-,-,
ɥ̥ʲ,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-,-,
ɥ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-,-,
ɥ̥ː,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,+,-,-,
ɥː,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,+,+,-,-,
ɥ̥ʷ,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,
ɥˠ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,
ɥːʷ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,+,-,-,
ɰ̥ˤ,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,
ɰˤ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,
ɰːˤ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-,-,
ɰʷˤ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,
ɥ̥ˤ,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,
ɥˤ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,
ɥːˤ,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,+,-,-,
ʋʷˤ,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
ʋ̰,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ʋ̰ː,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ʋ̰ˤ,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ʋ̰ʲ,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
ʋ̰ˠ,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
ʋʷˀ,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ɰ̰,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,
ɰ̰ː,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,
ɰ̰ʲ,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,
ɰ̰ˠ,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,-,-,+,-,-,-,
ɰʷˀ,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,+,-,+,-,-,-,
ɥ̰,-,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,+,-,+,-,-,-,
ɥ̰ː,-,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,+,-,+,+,-,-,
ɥ̰ˠ,-,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,-,+,-,+,-,+,-,-,-,
ɰ̰ˤ,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,-,-,+,-,-,-,
ɥ̰ˤ,-,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,+,+,-,+,-,+,-,-,-,
ʋ̤̥,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ʋ̤,-,+,-,+,-,-,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
